p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,35,0.02,0.03,0.08,0.1,14,3,26.65,4.67,0.562,-17.54,165,65.45,111.6,-164.7,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.1,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.08,0.1,16,2,15.13,2.76,0.433,-16.49,164,65.85,82.29,-131.68,164,99.4
vwap_reclaim,35,0.02,0.03,0.08,0.1,16,3,26.14,4.59,0.552,-17.67,165,66.06,110.29,-167.98,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.12,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.08,0.12,12,2,14.12,2.59,0.424,-14.85,162,65.43,79.96,-126.14,162,98.2
vwap_reclaim,35,0.02,0.03,0.08,0.12,12,3,21.1,3.77,0.444,-20.06,165,64.85,109.92,-166.4,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.12,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.08,0.12,14,2,14.98,2.73,0.443,-14.89,164,65.85,79.85,-127.24,164,99.4
vwap_reclaim,35,0.02,0.03,0.08,0.12,14,3,24.73,4.36,0.504,-20.09,165,65.45,111.6,-168.07,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.12,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.08,0.12,16,2,13.86,2.54,0.39,-17.59,164,65.85,82.29,-133.96,164,99.4
vwap_reclaim,35,0.02,0.03,0.08,0.12,16,3,23.05,4.09,0.462,-21.23,165,66.06,110.29,-173.51,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.15,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.08,0.15,12,2,18.9,3.4,0.601,-10.72,162,65.43,79.96,-117.61,162,98.2
vwap_reclaim,35,0.02,0.03,0.08,0.15,12,3,22.5,4.0,0.499,-18.92,165,64.85,109.92,-164.0,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.15,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.08,0.15,14,2,19.76,3.55,0.619,-10.75,164,65.85,79.85,-118.71,164,99.4
vwap_reclaim,35,0.02,0.03,0.08,0.15,14,3,26.13,4.59,0.563,-18.94,165,65.45,111.6,-165.62,165,100.0
vwap_reclaim,35,0.02,0.03,0.08,0.15,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.08,0.15,16,2,18.64,3.36,0.548,-13.47,164,65.85,82.29,-125.43,164,99.4
vwap_reclaim,35,0.02,0.03,0.08,0.15,16,3,25.39,4.47,0.545,-19.28,165,66.06,110.29,-169.32,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.1,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.12,0.1,12,2,14.2,2.6,0.438,-13.96,162,65.43,79.06,-124.3,162,98.2
vwap_reclaim,35,0.02,0.03,0.12,0.1,12,3,22.14,3.94,0.486,-17.53,165,64.85,109.09,-163.09,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.1,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.12,0.1,14,2,15.06,2.75,0.457,-14.0,164,65.85,78.97,-125.39,164,99.4
vwap_reclaim,35,0.02,0.03,0.12,0.1,14,3,25.76,4.53,0.549,-17.56,165,65.45,110.77,-164.7,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.1,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.12,0.1,16,2,14.18,2.6,0.41,-16.49,164,65.85,81.41,-131.68,164,99.4
vwap_reclaim,35,0.02,0.03,0.12,0.1,16,3,25.45,4.48,0.543,-17.66,165,66.06,109.65,-167.98,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.12,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.12,0.12,12,2,13.17,2.42,0.4,-14.85,162,65.43,79.06,-126.14,162,98.2
vwap_reclaim,35,0.02,0.03,0.12,0.12,12,3,20.21,3.62,0.43,-20.08,165,64.85,109.09,-166.4,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.12,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.12,0.12,14,2,14.03,2.57,0.419,-14.89,164,65.85,78.97,-127.24,164,99.4
vwap_reclaim,35,0.02,0.03,0.12,0.12,14,3,23.84,4.22,0.491,-20.11,165,65.45,110.77,-168.07,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.12,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.12,0.12,16,2,12.9,2.37,0.368,-17.59,164,65.85,81.41,-133.96,164,99.4
vwap_reclaim,35,0.02,0.03,0.12,0.12,16,3,22.36,3.98,0.452,-21.22,165,66.06,109.65,-173.51,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.15,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.12,0.15,12,2,17.94,3.24,0.576,-10.72,162,65.43,79.06,-117.61,162,98.2
vwap_reclaim,35,0.02,0.03,0.12,0.15,12,3,21.61,3.85,0.485,-18.93,165,64.85,109.09,-164.0,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.15,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.12,0.15,14,2,18.8,3.39,0.595,-10.75,164,65.85,78.97,-118.71,164,99.4
vwap_reclaim,35,0.02,0.03,0.12,0.15,14,3,25.23,4.44,0.55,-18.96,165,65.45,110.77,-165.62,165,100.0
vwap_reclaim,35,0.02,0.03,0.12,0.15,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.12,0.15,16,2,17.68,3.2,0.525,-13.48,164,65.85,81.41,-125.43,164,99.4
vwap_reclaim,35,0.02,0.03,0.12,0.15,16,3,24.7,4.36,0.535,-19.26,165,66.06,109.65,-169.32,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.1,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.15,0.1,12,2,14.2,2.6,0.438,-13.96,162,65.43,79.06,-124.3,162,98.2
vwap_reclaim,35,0.02,0.03,0.15,0.1,12,3,22.14,3.94,0.486,-17.53,165,64.85,109.09,-163.09,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.1,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.15,0.1,14,2,15.06,2.75,0.457,-14.0,164,65.85,78.97,-125.39,164,99.4
vwap_reclaim,35,0.02,0.03,0.15,0.1,14,3,25.76,4.53,0.549,-17.56,165,65.45,110.77,-164.7,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.1,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.15,0.1,16,2,14.18,2.6,0.41,-16.49,164,65.85,81.41,-131.68,164,99.4
vwap_reclaim,35,0.02,0.03,0.15,0.1,16,3,25.45,4.48,0.543,-17.66,165,66.06,109.65,-167.98,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.12,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.15,0.12,12,2,13.17,2.42,0.4,-14.85,162,65.43,79.06,-126.14,162,98.2
vwap_reclaim,35,0.02,0.03,0.15,0.12,12,3,20.21,3.62,0.43,-20.08,165,64.85,109.09,-166.4,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.12,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.15,0.12,14,2,14.03,2.57,0.419,-14.89,164,65.85,78.97,-127.24,164,99.4
vwap_reclaim,35,0.02,0.03,0.15,0.12,14,3,23.84,4.22,0.491,-20.11,165,65.45,110.77,-168.07,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.12,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.15,0.12,16,2,12.9,2.37,0.368,-17.59,164,65.85,81.41,-133.96,164,99.4
vwap_reclaim,35,0.02,0.03,0.15,0.12,16,3,22.36,3.98,0.452,-21.22,165,66.06,109.65,-173.51,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.15,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,35,0.02,0.03,0.15,0.15,12,2,17.94,3.24,0.576,-10.72,162,65.43,79.06,-117.61,162,98.2
vwap_reclaim,35,0.02,0.03,0.15,0.15,12,3,21.61,3.85,0.485,-18.93,165,64.85,109.09,-164.0,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.15,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,35,0.02,0.03,0.15,0.15,14,2,18.8,3.39,0.595,-10.75,164,65.85,78.97,-118.71,164,99.4
vwap_reclaim,35,0.02,0.03,0.15,0.15,14,3,25.23,4.44,0.55,-18.96,165,65.45,110.77,-165.62,165,100.0
vwap_reclaim,35,0.02,0.03,0.15,0.15,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,35,0.02,0.03,0.15,0.15,16,2,17.68,3.2,0.525,-13.48,164,65.85,81.41,-125.43,164,99.4
vwap_reclaim,35,0.02,0.03,0.15,0.15,16,3,24.7,4.36,0.535,-19.26,165,66.06,109.65,-169.32,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.1,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.08,0.1,12,2,15.39,2.81,0.456,-14.31,162,64.2,83.61,-123.38,162,98.2
vwap_reclaim,35,0.02,0.05,0.08,0.1,12,3,24.45,4.32,0.505,-18.82,165,61.82,123.17,-160.62,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.1,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.08,0.1,14,2,16.46,2.99,0.48,-14.35,164,64.63,83.62,-124.44,164,99.4
vwap_reclaim,35,0.02,0.05,0.08,0.1,14,3,28.58,4.98,0.573,-18.85,165,62.42,124.98,-161.53,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.1,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.08,0.1,16,2,16.08,2.92,0.445,-16.81,164,64.63,86.59,-130.52,164,99.4
vwap_reclaim,35,0.02,0.05,0.08,0.1,16,3,30.04,5.21,0.598,-18.88,165,63.03,124.48,-162.99,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.12,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.08,0.12,12,2,14.36,2.63,0.419,-15.2,162,64.2,83.61,-125.16,162,98.2
vwap_reclaim,35,0.02,0.05,0.08,0.12,12,3,22.52,4.0,0.453,-21.3,165,61.82,123.17,-163.67,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.12,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.08,0.12,14,2,15.43,2.81,0.443,-15.24,164,64.63,83.62,-126.23,164,99.4
vwap_reclaim,35,0.02,0.05,0.08,0.12,14,3,26.66,4.67,0.519,-21.33,165,62.42,124.98,-164.63,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.12,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.08,0.12,16,2,14.81,2.7,0.404,-17.9,164,64.63,86.59,-132.71,164,99.4
vwap_reclaim,35,0.02,0.05,0.08,0.12,16,3,26.94,4.72,0.511,-22.33,165,63.03,124.48,-168.07,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.15,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.08,0.15,12,2,19.13,3.44,0.588,-11.1,162,64.2,83.61,-116.93,162,98.2
vwap_reclaim,35,0.02,0.05,0.08,0.15,12,3,23.92,4.23,0.504,-20.19,165,61.82,123.17,-161.45,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.15,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.08,0.15,14,2,20.2,3.62,0.612,-11.13,164,64.63,83.62,-117.99,164,99.4
vwap_reclaim,35,0.02,0.05,0.08,0.15,14,3,28.06,4.9,0.574,-20.21,165,62.42,124.98,-162.38,165,100.0
vwap_reclaim,35,0.02,0.05,0.08,0.15,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.08,0.15,16,2,19.59,3.52,0.557,-13.81,164,64.63,86.59,-124.48,164,99.4
vwap_reclaim,35,0.02,0.05,0.08,0.15,16,3,29.29,5.09,0.591,-20.44,165,63.03,124.48,-164.22,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.1,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.12,0.1,12,2,14.43,2.64,0.433,-14.31,162,64.2,82.69,-123.38,162,98.2
vwap_reclaim,35,0.02,0.05,0.12,0.1,12,3,23.72,4.2,0.495,-18.81,165,61.82,122.46,-160.62,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.1,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.12,0.1,14,2,15.5,2.82,0.457,-14.35,164,64.63,82.72,-124.44,164,99.4
vwap_reclaim,35,0.02,0.05,0.12,0.1,14,3,27.85,4.86,0.564,-18.84,165,62.42,124.28,-161.53,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.1,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.12,0.1,16,2,15.13,2.76,0.424,-16.81,164,64.63,85.69,-130.52,164,99.4
vwap_reclaim,35,0.02,0.05,0.12,0.1,16,3,29.51,5.12,0.594,-18.84,165,63.03,123.98,-162.99,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.12,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.12,0.12,12,2,13.4,2.46,0.396,-15.2,162,64.2,82.69,-125.16,162,98.2
vwap_reclaim,35,0.02,0.05,0.12,0.12,12,3,21.8,3.88,0.443,-21.29,165,61.82,122.46,-163.67,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.12,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.12,0.12,14,2,14.47,2.65,0.421,-15.24,164,64.63,82.72,-126.23,164,99.4
vwap_reclaim,35,0.02,0.05,0.12,0.12,14,3,25.93,4.56,0.51,-21.32,165,62.42,124.28,-164.63,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.12,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.12,0.12,16,2,13.85,2.54,0.383,-17.9,164,64.63,85.69,-132.71,164,99.4
vwap_reclaim,35,0.02,0.05,0.12,0.12,16,3,26.42,4.63,0.506,-22.28,165,63.03,123.98,-168.07,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.15,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.12,0.15,12,2,18.18,3.28,0.564,-11.1,162,64.2,82.69,-116.93,162,98.2
vwap_reclaim,35,0.02,0.05,0.12,0.15,12,3,23.2,4.11,0.494,-20.18,165,61.82,122.46,-161.45,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.15,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.12,0.15,14,2,19.25,3.46,0.589,-11.13,164,64.63,82.72,-117.99,164,99.4
vwap_reclaim,35,0.02,0.05,0.12,0.15,14,3,27.33,4.78,0.564,-20.2,165,62.42,124.28,-162.38,165,100.0
vwap_reclaim,35,0.02,0.05,0.12,0.15,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.12,0.15,16,2,18.63,3.36,0.535,-13.81,164,64.63,85.69,-124.48,164,99.4
vwap_reclaim,35,0.02,0.05,0.12,0.15,16,3,28.76,5.01,0.587,-20.39,165,63.03,123.98,-164.22,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.1,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.15,0.1,12,2,14.43,2.64,0.433,-14.31,162,64.2,82.69,-123.38,162,98.2
vwap_reclaim,35,0.02,0.05,0.15,0.1,12,3,23.72,4.2,0.495,-18.81,165,61.82,122.46,-160.62,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.1,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.15,0.1,14,2,15.5,2.82,0.457,-14.35,164,64.63,82.72,-124.44,164,99.4
vwap_reclaim,35,0.02,0.05,0.15,0.1,14,3,27.85,4.86,0.564,-18.84,165,62.42,124.28,-161.53,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.1,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.15,0.1,16,2,15.13,2.76,0.424,-16.81,164,64.63,85.69,-130.52,164,99.4
vwap_reclaim,35,0.02,0.05,0.15,0.1,16,3,29.51,5.12,0.594,-18.84,165,63.03,123.98,-162.99,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.12,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.15,0.12,12,2,13.4,2.46,0.396,-15.2,162,64.2,82.69,-125.16,162,98.2
vwap_reclaim,35,0.02,0.05,0.15,0.12,12,3,21.8,3.88,0.443,-21.29,165,61.82,122.46,-163.67,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.12,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.15,0.12,14,2,14.47,2.65,0.421,-15.24,164,64.63,82.72,-126.23,164,99.4
vwap_reclaim,35,0.02,0.05,0.15,0.12,14,3,25.93,4.56,0.51,-21.32,165,62.42,124.28,-164.63,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.12,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.15,0.12,16,2,13.85,2.54,0.383,-17.9,164,64.63,85.69,-132.71,164,99.4
vwap_reclaim,35,0.02,0.05,0.15,0.12,16,3,26.42,4.63,0.506,-22.28,165,63.03,123.98,-168.07,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.15,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,35,0.02,0.05,0.15,0.15,12,2,18.18,3.28,0.564,-11.1,162,64.2,82.69,-116.93,162,98.2
vwap_reclaim,35,0.02,0.05,0.15,0.15,12,3,23.2,4.11,0.494,-20.18,165,61.82,122.46,-161.45,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.15,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,35,0.02,0.05,0.15,0.15,14,2,19.25,3.46,0.589,-11.13,164,64.63,82.72,-117.99,164,99.4
vwap_reclaim,35,0.02,0.05,0.15,0.15,14,3,27.33,4.78,0.564,-20.2,165,62.42,124.28,-162.38,165,100.0
vwap_reclaim,35,0.02,0.05,0.15,0.15,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,35,0.02,0.05,0.15,0.15,16,2,18.63,3.36,0.535,-13.81,164,64.63,85.69,-124.48,164,99.4
vwap_reclaim,35,0.02,0.05,0.15,0.15,16,3,28.76,5.01,0.587,-20.39,165,63.03,123.98,-164.22,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.1,12,1,2.61,0.5,0.145,-7.51,130,61.54,47.67,-71.06,130,78.8
vwap_reclaim,35,0.02,0.08,0.08,0.1,12,2,13.96,2.56,0.414,-14.93,162,63.58,84.4,-123.67,162,98.2
vwap_reclaim,35,0.02,0.08,0.08,0.1,12,3,23.03,4.09,0.474,-20.01,165,60.0,128.32,-157.58,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.1,14,1,3.53,0.67,0.186,-8.32,139,61.15,47.37,-68.03,139,84.2
vwap_reclaim,35,0.02,0.08,0.08,0.1,14,2,15.25,2.78,0.443,-14.98,164,64.02,84.6,-124.71,164,99.4
vwap_reclaim,35,0.02,0.08,0.08,0.1,14,3,27.47,4.8,0.546,-20.04,165,60.61,130.43,-158.41,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.1,16,1,-0.51,-0.1,-0.001,-12.42,146,59.59,46.53,-69.48,146,88.5
vwap_reclaim,35,0.02,0.08,0.08,0.1,16,2,15.03,2.74,0.415,-17.41,164,64.02,87.75,-130.68,164,99.4
vwap_reclaim,35,0.02,0.08,0.08,0.1,16,3,27.39,4.79,0.545,-20.11,165,60.61,129.63,-157.3,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.12,12,1,2.61,0.5,0.145,-7.51,130,61.54,47.67,-71.06,130,78.8
vwap_reclaim,35,0.02,0.08,0.08,0.12,12,2,12.93,2.38,0.379,-15.82,162,63.58,84.4,-125.42,162,98.2
vwap_reclaim,35,0.02,0.08,0.08,0.12,12,3,21.11,3.77,0.425,-22.46,165,60.0,128.32,-160.49,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.12,14,1,3.53,0.67,0.186,-8.32,139,61.15,47.37,-68.03,139,84.2
vwap_reclaim,35,0.02,0.08,0.08,0.12,14,2,14.21,2.6,0.408,-15.86,164,64.02,84.6,-126.47,164,99.4
vwap_reclaim,35,0.02,0.08,0.08,0.12,14,3,25.54,4.49,0.494,-22.49,165,60.61,130.43,-161.36,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.12,16,1,-0.51,-0.1,-0.001,-12.42,146,59.59,46.53,-69.48,146,88.5
vwap_reclaim,35,0.02,0.08,0.08,0.12,16,2,13.76,2.52,0.376,-18.49,164,64.02,87.75,-132.84,164,99.4
vwap_reclaim,35,0.02,0.08,0.08,0.12,16,3,24.29,4.29,0.464,-23.51,165,60.61,129.63,-162.07,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.15,12,1,2.61,0.5,0.145,-7.51,130,61.54,47.67,-71.06,130,78.8
vwap_reclaim,35,0.02,0.08,0.08,0.15,12,2,17.71,3.2,0.541,-11.75,162,63.58,84.4,-117.33,162,98.2
vwap_reclaim,35,0.02,0.08,0.08,0.15,12,3,22.51,4.0,0.471,-21.36,165,60.0,128.32,-158.38,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.15,14,1,3.53,0.67,0.186,-8.32,139,61.15,47.37,-68.03,139,84.2
vwap_reclaim,35,0.02,0.08,0.08,0.15,14,2,18.99,3.42,0.57,-11.78,164,64.02,84.6,-118.37,164,99.4
vwap_reclaim,35,0.02,0.08,0.08,0.15,14,3,26.94,4.72,0.545,-21.38,165,60.61,130.43,-159.21,165,100.0
vwap_reclaim,35,0.02,0.08,0.08,0.15,16,1,-0.51,-0.1,-0.001,-12.42,146,59.59,46.53,-69.48,146,88.5
vwap_reclaim,35,0.02,0.08,0.08,0.15,16,2,18.54,3.34,0.523,-14.44,164,64.02,87.75,-124.75,164,99.4
vwap_reclaim,35,0.02,0.08,0.08,0.15,16,3,26.64,4.67,0.537,-21.64,165,60.61,129.63,-158.45,165,100.0
vwap_reclaim,35,0.02,0.08,0.12,0.1,12,1,2.61,0.5,0.145,-7.51,130,61.54,47.67,-71.06,130,78.8
vwap_reclaim,35,0.02,0.08,0.12,0.1,12,2,13.01,2.39,0.391,-14.94,162,63.58,83.47,-123.67,162,98.2
vwap_reclaim,35,0.02,0.08,0.12,0.1,12,3,22.31,3.97,0.464,-20.01,165,60.0,127.59,-157.58,165,100.0
vwap_reclaim,35,0.02,0.08,0.12,0.1,14,1,3.53,0.67,0.186,-8.32,139,61.15,47.37,-68.03,139,84.2
vwap_reclaim,35,0.02,0.08,0.12,0.1,14,2,14.29,2.62,0.421,-14.98,164,64.02,83.69,-124.71,164,99.4
vwap_reclaim,35,0.02,0.08,0.12,0.1,14,3,26.74,4.69,0.538,-20.03,165,60.61,129.7,-158.41,165,100.0
vwap_reclaim,35,0.02,0.08,0.12,0.1,16,1,-0.51,-0.1,-0.001,-12.42,146,59.59,46.53,-69.48,146,88.5
vwap_reclaim,35,0.02,0.08,0.12,0.1,16,2,14.08,2.58,0.394,-17.41,164,64.02,86.84,-130.68,164,99.4
vwap_reclaim,35,0.02,0.08,0.12,0.1,16,3,26.86,4.71,0.54,-20.07,165,60.61,129.11,-157.3,165,100.0
vwap_reclaim,35,0.02,0.08,0.12,0.12,12,1,2.61,0.5,0.145,-7.51,130,61.54,47.67,-71.06,130,78.8
vwap_reclaim,35,0.02,0.08,0.12,0.12,12,2,11.98,2.21,0.356,-15.82,162,63.58,83.47,-125.42,162,98.2
vwap_reclaim,35,0.02,0.08,0.12,0.12,12,3,20.39,3.65,0.415,-22.45,165,60.0,127.59,-160.49,165,100.0
vwap_reclaim,35,0.02,0.08,0.12,0.12,14,1,3.53,0.67,0.186,-8.32,139,61.15,47.37,-68.03,139,84.2
vwap_reclaim,35,0.02,0.08,0.12,0.12,14,2,13.26,2.44,0.386,-15.86,164,64.02,83.69,-126.47,164,99.4
vwap_reclaim,35,0.02,0.08,0.12,0.12,14,3,24.81,4.38,0.486,-22.48,165,60.61,129.7,-161.36,165,100.0
vwap_reclaim,35,0.02,0.08,0.12,0.12,16,1,-0.51,-0.1,-0.001,-12.42,146,59.59,46.53,-69.48,146,88.5
